team1_member1,team1_member2,team1_member3,team1_member4,team1_member5,team2_member1,team2_member2,team2_member3,team2_member4,team2_member5
11,10,10,10,10,12,12,10,10,8
11,11,10,10,8,11,11,10,10,9
11,11,10,10,9,12,11,11,9,9
11,11,11,10,9,12,11,11,10,9
12,11,10,8,8,11,11,10,9,9
12,11,10,10,7,12,10,10,10,10
12,11,10,10,9,12,11,10,10,10
12,11,10,10,9,12,12,10,10,9
12,11,10,10,9,13,11,11,9,9
12,11,10,10,10,12,12,12,10,8
12,11,10,10,10,13,11,11,10,9
12,11,11,9,9,12,11,11,10,9
12,11,11,10,8,12,11,11,10,10
12,11,11,10,9,12,12,10,10,10
12,11,11,10,9,13,12,10,10,9
12,11,11,11,9,13,12,11,10,9
12,11,11,11,10,13,13,11,10,9
12,11,11,11,10,14,11,11,10,10
12,12,10,10,9,12,12,11,10,9
12,12,11,10,9,12,11,11,11,10
12,12,11,10,10,13,12,11,11,9
12,12,11,11,10,13,12,11,11,10
12,12,12,11,10,13,12,12,11,10
12,12,12,11,10,13,13,12,10,10
12,12,12,12,8,13,12,11,11,11
13,10,10,9,8,12,10,10,10,9
13,10,10,10,8,12,11,11,10,9
13,10,10,10,9,13,11,10,10,9
13,11,10,9,8,12,11,11,10,9
13,11,10,9,9,12,11,11,10,9
13,11,10,9,9,12,11,11,10,10
13,11,10,10,9,12,11,11,10,10
13,11,11,10,2,11,10,10,10,9
13,11,11,10,9,12,12,11,10,10
13,11,11,10,10,13,12,11,10,10
13,11,11,11,8,12,12,11,11,9
13,11,11,11,8,12,12,11,11,10
13,12,10,9,8,12,12,11,10,9
13,12,10,10,1,11,11,11,10,9
13,12,11,9,8,12,11,11,11,10
13,12,11,9,9,12,12,11,11,10
13,12,11,9,9,13,11,11,11,10
13,12,11,10,9,12,12,11,11,11
13,12,11,11,7,11,10,10,10,9
13,12,11,11,9,12,12,11,11,11
13,12,11,11,9,12,12,12,11,11
13,12,11,11,9,13,12,11,11,11
13,12,11,11,10,13,12,10,10,10
13,12,11,11,10,13,13,11,11,10
13,12,11,11,11,13,13,12,11,10
13,12,12,10,9,13,12,11,11,10
13,12,12,10,9,13,12,11,11,11
13,12,12,10,10,13,12,12,11,10
13,12,12,10,10,13,12,12,12,4
13,12,12,11,8,13,12,12,11,10
13,12,12,11,9,13,12,12,11,10
13,12,12,11,10,13,12,12,11,11
